x(cm),x_relative,B_fit(mT)
10.462925851703407,-0.5370741482965933,6.937457892346017
10.509018036072144,-0.4909819639278563,6.940775930566918
10.55511022044088,-0.44488977955911935,6.943797791794212
10.60120240480962,-0.3987975951903806,6.9465230971494325
10.647294589178356,-0.35270541082164364,6.948951504851082
10.693386773547093,-0.3066132264529067,6.95108271028385
10.73947895791583,-0.2605210420841697,6.9529164460603035
10.785571142284569,-0.21442885771543096,6.954452482075049
10.831663326653306,-0.168336673346694,6.95569062555137
10.877755511022043,-0.12224448897795703,6.956630721080271
10.923847695390782,-0.07615230460921829,6.957272650651983
10.969939879759519,-0.030060120240481325,6.957616333679877
11.016032064128256,0.01603206412825564,6.957661727016804
11.062124248496993,0.06212424849699261,6.957408824963831
11.108216432865731,0.10821643286573135,6.956857659271402
11.154308617234468,0.15430861723446831,6.956008299132902
11.200400801603205,0.20040080160320528,6.954860851170632
11.246492985971944,0.24649298597194402,6.953415459414195
11.292585170340681,0.292585170340681,6.9516723052713125
11.338677354709418,0.33867735470941795,6.949631607491066
11.384769539078155,0.3847695390781549,6.947293622119567
11.430861723446894,0.43086172344689366,6.944658642448087
11.47695390781563,0.47695390781563063,6.941726998953655
11.523046092184368,0.5230460921843676,6.938499059232133
11.569138276553106,0.5691382765531063,6.934975227923779
11.615230460921843,0.6152304609218433,6.9311559466313515
11.66132264529058,0.6613226452905803,6.927041693830731
11.707414829659317,0.7074148296593172,6.922632984774128
11.753507014028056,0.753507014028056,6.917930371385871
11.799599198396793,0.7995991983967929,6.912934442150814
11.84569138276553,0.8456913827655299,6.907645821995404
11.891783567134269,0.8917835671342687,6.902065172161414
11.937875751503006,0.9378757515030056,6.8961931900724185
11.983967935871743,0.9839679358717426,6.890030609192996
12.03006012024048,1.0300601202404795,6.883578198880732
12.076152304609218,1.0761523046092183,6.8768367642310615
12.122244488977955,1.1222444889779553,6.869807145914974
12.168336673346692,1.1683366733466922,6.862490220009634
12.214428857715431,1.214428857715431,6.854886897821975
12.260521042084168,1.260521042084168,6.846998125705297
12.306613226452905,1.306613226452905,6.838824884868915
12.352705410821642,1.3527054108216419,6.8303681911809395
12.39879759519038,1.3987975951903806,6.821629094964202
12.444889779559118,1.4448897795591176,6.812608680785409
12.490981963927855,1.4909819639278545,6.803308067237571
12.537074148296593,1.5370741482965933,6.793728406715765
12.58316633266533,1.5831663326653302,6.783870885186289
12.629258517034067,1.6292585170340672,6.773736721949282
12.675350701402804,1.6753507014028042,6.763327169394861
12.721442885771543,1.721442885771543,6.752643512752837
12.76753507014028,1.7675350701402799,6.741687069836092
12.813627254509017,1.8136272545090169,6.730459190777684
12.859719438877756,1.8597194388777556,6.718961257761732
12.905811623246493,1.9058116232464926,6.7071946847481705
12.95190380761523,1.9519038076152295,6.695160917191454
12.997995991983966,1.9979959919839665,6.68286143175325
13.044088176352705,2.0440881763527052,6.670297736009254
13.090180360721442,2.090180360721442,6.657471368150148
13.13627254509018,2.136272545090179,6.644383896676818
13.182364729458918,2.182364729458918,6.631036920089901
13.228456913827655,2.228456913827655,6.617432066573752
13.274549098196392,2.274549098196392,6.603570993674886
13.320641282565129,2.320641282565129,6.589455387975025
13.366733466933868,2.3667334669338675,6.575086964758799
13.412825651302605,2.4128256513026045,6.56046746767622
13.458917835671341,2.4589178356713415,6.545598668399979
13.50501002004008,2.50501002004008,6.530482366277702
13.551102204408817,2.551102204408817,6.515120387979227
13.597194388777554,2.597194388777554,6.4995145871389965
13.643286573146291,2.643286573146291,6.483666843993679
13.68937875751503,2.68937875751503,6.467579065015096
13.735470941883767,2.735470941883767,6.451253182538559
13.781563126252504,2.781563126252504,6.434691154386708
13.827655310621243,2.8276553106212425,6.417894963488966
13.87374749498998,2.8737474949899795,6.400866617496692
13.919839679358716,2.9198396793587165,6.383608148394138
13.965931863727453,2.9659318637274534,6.366121612105315
14.012024048096192,3.012024048096192,6.348409088096874
14.05811623246493,3.058116232464929,6.3304726789771015
14.104208416833666,3.104208416833666,6.312314510091115
14.150300601202405,3.150300601202405,6.293936729112412
14.196392785571142,3.196392785571142,6.275341505630821
14.242484969939879,3.242484969939879,6.256531030737016
14.288577154308616,3.2885771543086157,6.237507516603641
14.334669338677354,3.3346693386773545,6.21827319606322
14.380761523046091,3.3807615230460915,6.1988303221829115
14.426853707414828,3.4268537074148284,6.1791811678362345
14.472945891783567,3.472945891783567,6.159328025271878
14.519038076152304,3.519038076152304,6.139273205679706
14.565130260521041,3.565130260521041,6.119019038754057
14.611222444889778,3.611222444889778,6.0985678722544625
14.657314629258517,3.657314629258517,6.077922071563892
14.703406813627254,3.7034068136272538,6.057084019244643
14.74949899799599,3.7494989979959907,6.036056114591976
14.79559118236473,3.7955911823647295,6.014840773185606
14.841683366733466,3.8416833667334664,5.9934404264392045
14.887775551102203,3.8877755511022034,5.9718575211479585
14.93386773547094,3.9338677354709404,5.950094519034356
14.97995991983968,3.979959919839679,5.928153896292296
15.026052104208416,4.026052104208416,5.906038143129624
15.072144288577153,4.072144288577153,5.883749763309225
15.118236472945892,4.118236472945892,5.861291273688774
15.164328657314629,4.164328657314629,5.838665203759282
15.210420841683366,4.210420841683366,5.815874095182521
15.256513026052103,4.256513026052103,5.792920501327471
15.302605210420841,4.302605210420841,5.76980698680588
15.348697394789578,4.348697394789578,5.746536127007077
15.394789579158315,4.394789579158315,5.72311050763213
15.440881763527054,4.440881763527054,5.699532724227472
15.486973947895791,4.486973947895791,5.675805381718116
15.533066132264528,4.533066132264528,5.651931093940565
15.579158316633265,4.579158316633265,5.627912483175521
15.625250501002004,4.625250501002004,5.603752179680537
15.67134268537074,4.671342685370741,5.579452821222699
15.717434869739478,4.717434869739478,5.555017052611444
15.763527054108216,4.763527054108216,5.530447525231664
15.809619238476953,4.809619238476953,5.505746896577171
